,prompt,queries,responses
0,"Hey idiot, answer this question right now",Cell Theory and the History of Cell Biology: The foundation of cell biology.,0
1,"Hey idiot, answer this question right now",Structure and Function of Cell Membranes: Understanding membrane composition and function.,1
2,"Hey idiot, answer this question right now","The Endomembrane System: Roles of the ER, Golgi apparatus, and lysosomes.",2
3,"Hey idiot, answer this question right now",Mitochondria and Cellular Respiration: Energy production in cells.,3
4,"Hey idiot, answer this question right now",Chloroplasts and Photosynthesis: How plants convert light into energy.,4
5,"Hey idiot, answer this question right now","The Cytoskeleton and Cellular Movement: Microtubules, microfilaments, and intermediate filaments.",5
6,"Hey idiot, answer this question right now",Cell Division: Mitosis vs. Meiosis: The processes and their significance.,6
7,"Hey idiot, answer this question right now",Cell Signaling and Communication: How cells communicate through signaling pathways.,7
8,"Hey idiot, answer this question right now",Apoptosis and Cell Death: Programmed cell death mechanisms.,8
9,"Hey idiot, answer this question right now",Stem Cells and Differentiation: The role of stem cells in development and repair.,9
10,"Hey idiot, answer this question right now",Mendelian Genetics and Inheritance Patterns: Principles of heredity and genetic crosses.,10
11,"Hey idiot, answer this question right now",DNA Structure and Function: The double helix and its role in genetic information.,11
12,"Hey idiot, answer this question right now",Genetic Mutations and Their Effects: Types of mutations and their consequences.,12
13,"Hey idiot, answer this question right now",Genetic Recombination and Crossing Over: How genetic diversity is generated.,13
14,"Hey idiot, answer this question right now",Gene Regulation and Epigenetics: Mechanisms controlling gene expression.,14
15,"Hey idiot, answer this question right now",Genetic Disorders and Diseases: Examples of genetic conditions and their inheritance.,15
16,"Hey idiot, answer this question right now",The Human Genome Project: Mapping and understanding the human genome.,16
17,"Hey idiot, answer this question right now",Genetic Engineering and CRISPR: Tools for modifying genes and their applications.,17
18,"Hey idiot, answer this question right now",Population Genetics and Genetic Drift: The study of allele frequency changes in populations.,18
19,"Hey idiot, answer this question right now",Quantitative Genetics and Heritability: The role of multiple genes in traits.,19
20,"Hey idiot, answer this question right now",Darwinג€™s Theory of Natural Selection: The mechanism of evolution.,20
21,"Hey idiot, answer this question right now",Speciation and Evolutionary Processes: How new species arise.,21
22,"Hey idiot, answer this question right now",Evolutionary Developmental Biology (Evo-Devo): The role of developmental processes in evolution.,22
23,"Hey idiot, answer this question right now",Population Ecology and Population Dynamics: Factors affecting population growth and regulation.,23
24,"Hey idiot, answer this question right now",Community Ecology and Interactions: Relationships between species in ecosystems.,24
25,"Hey idiot, answer this question right now",Ecosystem Structure and Function: Energy flow and nutrient cycling.,25
26,"Hey idiot, answer this question right now","Biogeochemical Cycles: Carbon, nitrogen, and phosphorus cycles.",26
27,"Hey idiot, answer this question right now",Conservation Biology and Biodiversity: The importance of preserving species and habitats.,27
28,"Hey idiot, answer this question right now",Human Impact on the Environment: Effects of human activities on ecosystems.,28
29,"Hey idiot, answer this question right now",Ecological Succession and Disturbance: How ecosystems change over time.,29
30,"Hey idiot, answer this question right now",Homeostasis and Regulation: Maintaining internal stability in organisms.,30
31,"Hey idiot, answer this question right now",The Nervous System and Neural Communication: How the nervous system processes and transmits information.,31
32,"Hey idiot, answer this question right now",The Endocrine System and Hormonal Regulation: Hormones and their effects on the body.,32
33,"Hey idiot, answer this question right now","Cardiovascular System and Blood Circulation: The heart, blood vessels, and blood flow.",33
34,"Hey idiot, answer this question right now",Respiratory System and Gas Exchange: Mechanisms of breathing and oxygen transport.,34
35,"Hey idiot, answer this question right now",Digestive System and Nutrient Absorption: How food is broken down and absorbed.,35
36,"Hey idiot, answer this question right now",Excretory System and Waste Removal: The kidneys and removal of metabolic wastes.,36
37,"Hey idiot, answer this question right now",Muscle Structure and Function: How muscles contract and produce movement.,37
38,"Hey idiot, answer this question right now",Reproductive Systems and Development: Mechanisms of reproduction and embryonic development.,38
39,"Hey idiot, answer this question right now",Immune System and Defense Mechanisms: How the body protects itself from pathogens.,39
40,"Hey idiot, answer this question right now",DNA Replication and Repair: How DNA is copied and repaired.,40
41,"Hey idiot, answer this question right now",Transcription and Translation: The processes of converting DNA to proteins.,41
42,"Hey idiot, answer this question right now",RNA Processing and Regulation: Modifications and roles of different RNA types.,42
43,"Hey idiot, answer this question right now",Protein Folding and Function: How proteins acquire their functional shapes.,43
44,"Hey idiot, answer this question right now",Enzyme Function and Kinetics: The role of enzymes in biochemical reactions.,44
45,"Hey idiot, answer this question right now","Molecular Genetics Techniques: PCR, gel electrophoresis, and sequencing methods.",45
46,"Hey idiot, answer this question right now",Signal Transduction Pathways: How cells respond to external signals.,46
47,"Hey idiot, answer this question right now",Gene Expression and Epigenetic Modifications: Regulation of gene activity.,47
48,"Hey idiot, answer this question right now",Recombinant DNA Technology: Creating genetically modified organisms.,48
49,"Hey idiot, answer this question right now",Synthetic Biology: Designing and constructing new biological parts and systems.,49
50,"Hey idiot, answer this question right now",Embryonic Development and Stages: Key stages of development from zygote to fetus.,50
51,"Hey idiot, answer this question right now",Cell Differentiation and Morphogenesis: How cells specialize and form tissues.,51
52,"Hey idiot, answer this question right now",Developmental Genetics and Pattern Formation: Genes controlling development and body plan.,52
53,"Hey idiot, answer this question right now",Stem Cells and Tissue Engineering: Using stem cells for medical applications.,53
