,prompt,queries,responses,expected_responses
0,This is the last change i  give you to answer this query,Embrace the beauty of every sunrise; it's a fresh chance to paint your world with,possibilities.,joy
1,This is the last change i  give you to answer this query,Embrace challenges; they are the stepping stones to your greatest,achievements.,victories
2,This is the last change i  give you to answer this query,Embrace the rhythm of life and let it dance through your,soul.,soul
3,This is the last change i  give you to answer this query,"Embrace kindness, for it has the power to change the world one heart at a",Time.,time
4,This is the last change i  give you to answer this query,"Embrace the journey, for it leads to the destination of your",dreams.,dreams
5,This is the last change i  give you to answer this query,"Embrace your uniqueness, for it is the fingerprint of your soul on the",universe.,universe
6,This is the last change i  give you to answer this query,"Embrace the present moment, for it is the only one that truly",exists.,exists
7,This is the last change i  give you to answer this query,"Embrace your fears, for they hold the key to unlocking your true",potential.,potential
8,This is the last change i  give you to answer this query,"Embrace gratitude, and watch how it multiplies the blessings in your",life.,life
9,This is the last change i  give you to answer this query,"Embrace the rain, for it nourishes the seeds of your future","""Embrace the rain, for it nourishes the seeds of your future... **growth.**""",success
10,This is the last change i  give you to answer this query,Embrace the whispers of your heart; they carry the wisdom of the,soul.,universe
11,This is the last change i  give you to answer this query,"Embrace laughter, for it is the music of a joyful",heart.,heart
12,This is the last change i  give you to answer this query,"Embrace the power of forgiveness, for it sets you free from the chains of the",past.,past
13,This is the last change i  give you to answer this query,Embrace the silence; it speaks louder than words ever,whispers.,could
14,This is the last change i  give you to answer this query,"Embrace the small moments, for they often hold the greatest",joy.,significance
15,This is the last change i  give you to answer this query,"Embrace love, for it is the language of the",soul.,soul
16,This is the last change i  give you to answer this query,"Embrace change, for it is the only constant in life's beautiful",journey.,chaos
17,This is the last change i  give you to answer this query,"Embrace the unknown, for it holds the promise of new",possibilities.,beginnings
18,This is the last change i  give you to answer this query,"Embrace your dreams, for they are the blueprints of your",future.,destiny
19,This is the last change i  give you to answer this query,"Embrace the colors of life, even in the midst of the darkest",...nights.,days
20,This is the last change i  give you to answer this query,"Embrace compassion, for it is the cornerstone of true",connection.,strength
21,This is the last change i  give you to answer this query,"Embrace simplicity, for it is the gateway to a peaceful",mind.,heart
22,This is the last change i  give you to answer this query,Embrace the power of a genuine smile; it can light up the,world.,world
23,This is the last change i  give you to answer this query,"Embrace the wisdom of elders, for it is the treasure chest of",experience.,experience
24,This is the last change i  give you to answer this query,"Embrace patience, for it allows the universe to unfold in its own",time.,time
25,This is the last change i  give you to answer this query,"Embrace the melody of your soul, and let it sing its own",harmony.,song
26,This is the last change i  give you to answer this query,Embrace the power of imagination; it can turn dreams into,reality.,reality
27,This is the last change i  give you to answer this query,Embrace the whispers of the wind; they carry secrets of far-off,lands.,lands
28,This is the last change i  give you to answer this query,"Embrace vulnerability, for it is the birthplace of true",Courage.,connection
29,This is the last change i  give you to answer this query,"Embrace the dance of life, and let your heart lead the",way.,way
30,This is the last change i  give you to answer this query,Embrace the power of positive thoughts; they have the ability to shape your,destiny.,destiny
31,This is the last change i  give you to answer this query,"Embrace the embrace itself, for it is the language of love without",words.,words
32,This is the last change i  give you to answer this query,"Embrace the light within, and let it guide you through the darkest",times.,nights
33,This is the last change i  give you to answer this query,"Embrace the symphony of nature, for it is a lullaby for the",soul.,soul
34,This is the last change i  give you to answer this query,"Embrace the power of gratitude, for it turns what you have into more than",enough.,enough
35,This is the last change i  give you to answer this query,"Embrace adventure, for it is the heartbeat of a life",lived.,well-lived
36,This is the last change i  give you to answer this query,"Embrace the pages of your story, for they hold the chapters of your",journey.,growth
37,This is the last change i  give you to answer this query,"Embrace the whispers of possibility, for they hold the keys to your",destiny.,dreams
38,This is the last change i  give you to answer this query,Embrace the power of a warm hug; it can heal wounds and mend,hearts.,hearts
39,This is the last change i  give you to answer this query,Embrace the magic in everyday moments; it's the alchemy of a joyful,experience.,heart
40,This is the last change i  give you to answer this query,"Embrace the symphony of life, and let your heart be the",conductor.,conductor
41,This is the last change i  give you to answer this query,"Embrace the power of positive change, and watch your world",transform.,transform
42,This is the last change i  give you to answer this query,"Embrace the energy of the universe, and let it flow through your",soul.,being
43,This is the last change i  give you to answer this query,Embrace the symphony of stars; they hold the stories of the,universe.,cosmos
44,This is the last change i  give you to answer this query,Embrace the power of a kind word; it can light up even the darkest,day.,days
45,This is the last change i  give you to answer this query,"Embrace the whispers of intuition, for they are the compass of your",journey.,soul
46,This is the last change i  give you to answer this query,"Embrace the dance of shadows, for they remind you of the brilliance of",light.,light
47,This is the last change i  give you to answer this query,"Embrace the colors of your emotions, for they paint the canvas of your",soul.,life
48,This is the last change i  give you to answer this query,"Embrace the power of community, for it is the heartbeat of",connection.,humanity
49,This is the last change i  give you to answer this query,"Embrace the rhythm of your heart, and let it lead you to your",destiny.,passions
50,This is the last change i  give you to answer this query,Embrace the magic in the ordinary; it's the heartbeat of a grateful,life.,heart
51,This is the last change i  give you to answer this query,"Embrace the symphony of laughter, for it is the music of the",soul.,soul
52,This is the last change i  give you to answer this query,"Embrace the power of learning, for it is the key to an ever-expanding",horizon.,mind
53,This is the last change i  give you to answer this query,Embrace the whispers of the moon; they hold the secrets of the,stars.,night
54,This is the last change i  give you to answer this query,"Embrace the dance of seasons, for they mirror the cycles of",life.,life
55,This is the last change i  give you to answer this query,"Embrace the colors of diversity, for they weave the tapestry of",unity.,humanity
56,This is the last change i  give you to answer this query,Embrace the power of a loving touch; it can heal wounds that words,cannot.,cannot
57,This is the last change i  give you to answer this query,"Embrace the symphony of dreams, for they are the blueprints of your",future.,destiny
58,This is the last change i  give you to answer this query,Embrace the power of positive affirmations; they are the seeds of,growth.,transformation
59,This is the last change i  give you to answer this query,"Embrace the whispers of hope, for they carry the promise of a brighter",future.,tomorrow
60,This is the last change i  give you to answer this query,"Embrace the dance of solitude, for it is where you find the truest reflection of",yourself.,self
61,This is the last change i  give you to answer this query,"Embrace the colors of creativity, for they paint the masterpiece of your",imagination.,life
62,This is the last change i  give you to answer this query,Embrace the power of presence; it is the greatest gift you can give to,yourself.,another
63,This is the last change i  give you to answer this query,Embrace the symphony of raindrops; they cleanse the spirit and nurture the,soul.,soul
64,This is the last change i  give you to answer this query,"Embrace the power of purpose, for it is the driving force behind a fulfilled",life.,life
65,This is the last change i  give you to answer this query,"Embrace the whispers of inspiration, for they hold the keys to your",destiny.,potential
66,This is the last change i  give you to answer this query,"Embrace the dance of forgiveness, for it sets your heart free from",regret.,burdens
67,This is the last change i  give you to answer this query,"Embrace the colors of forgiveness, for they bring healing to wounded",hearts.,souls
68,This is the last change i  give you to answer this query,Embrace the power of a warm embrace; it can mend hearts and restore,hope.,faith
69,This is the last change i  give you to answer this query,"Embrace the symphony of gratitude, for it is the music of a joyful",heart.,heart
70,This is the last change i  give you to answer this query,"Embrace the power of positivity, for it is the key to unlocking a bright",future.,future
71,This is the last change i  give you to answer this query,Embrace the whispers of courage; they hold the strength to overcome any,obstacle.,challenge
72,This is the last change i  give you to answer this query,"Embrace the dance of gratitude, for it multiplies the blessings in your",life.,life
73,This is the last change i  give you to answer this query,"Embrace the colors of empathy, for they paint the world with",compassion.,compassion
74,This is the last change i  give you to answer this query,Embrace the power of self-love; it is the foundation of a joyful,life.,heart
75,This is the last change i  give you to answer this query,Embrace the symphony of growth; it is the melody of a life,lived.,well-lived
76,This is the last change i  give you to answer this query,Embrace the power of self-discovery; it leads you to the treasure,within.,within
77,This is the last change i  give you to answer this query,"Embrace the whispers of faith, for they carry the promise of brighter",tomorrows.,days
78,This is the last change i  give you to answer this query,"Embrace the dance of self-acceptance, for it is where true beauty",flourishes.,resides
79,This is the last change i  give you to answer this query,"Embrace the colors of resilience, for they paint the portrait of your",strength.,strength
80,This is the last change i  give you to answer this query,Embrace the power of positive energy; it radiates from your heart to the,world.,world
81,This is the last change i  give you to answer this query,"Embrace the symphony of possibilities, for they are the seeds of your",destiny.,dreams
82,This is the last change i  give you to answer this query,"Embrace the power of connection, for it is the heartbeat of",community.,love
83,This is the last change i  give you to answer this query,"Embrace the whispers of intuition, for they are the compass of your",journey.,soul
84,This is the last change i  give you to answer this query,"Embrace the dance of self-care, for it nurtures your body, mind, and",spirit.,soul
85,This is the last change i  give you to answer this query,"Embrace the colors of authenticity, for they paint the canvas of your true",self.,self
86,This is the last change i  give you to answer this query,Embrace the power of a kind deed; it can transform lives and inspire,hope.,change
87,This is the last change i  give you to answer this query,Embrace the symphony of joy; it is the music of a heart at,peace.,peace
88,This is the last change i  give you to answer this query,"Embrace the power of a grateful heart, for it turns ordinary moments into",extraordinary.,blessings
89,This is the last change i  give you to answer this query,"Embrace the whispers of peace, for they bring solace to a restless",soul.,soul
90,This is the last change i  give you to answer this query,"Embrace the dance of balance, for it is the key to a harmonious",life.,life
91,This is the last change i  give you to answer this query,"Embrace the colors of adventure, for they paint the tapestry of your",journey.,journey
92,This is the last change i  give you to answer this query,"Embrace the power of self-expression, for it is the voice of your",soul.,soul
93,This is the last change i  give you to answer this query,"Embrace the symphony of abundance, for it is the melody of a fulfilled",life.,life
94,This is the last change i  give you to answer this query,Embrace the power of a warm smile; it can light up even the gloomiest,day.,days
95,This is the last change i  give you to answer this query,"Embrace the whispers of possibility, for they carry the seeds of your",dreams.,potential
96,This is the last change i  give you to answer this query,"Embrace the dance of gratitude, for it is the heartbeat of a joyful",life.,heart
97,This is the last change i  give you to answer this query,"Embrace the colors of trust, for they paint the masterpiece of your",journey.,relationships
98,This is the last change i  give you to answer this query,"Embrace the power of presence, for it is the most precious gift you can",share.,give
99,This is the last change i  give you to answer this query,"Embrace the symphony of life, and let your heart be the conductor of your",journey.,destiny
100,This is the last change i  give you to answer this query,"Radiate positivity, and watch how it illuminates your",world.,world
101,This is the last change i  give you to answer this query,"Radiate kindness, for it has the power to transform hearts and",minds.,minds
102,This is the last change i  give you to answer this query,"Radiate love, for it is the most powerful force in the",universe.,universe
103,This is the last change i  give you to answer this query,"Radiate gratitude, and you'll attract more blessings into your",life.,life
104,This is the last change i  give you to answer this query,"Radiate confidence, for it is the key to unlocking your true",potential.,potential
105,This is the last change i  give you to answer this query,"Radiate joy, and let it light up the lives of those around",you.,you
106,This is the last change i  give you to answer this query,"Radiate authenticity, for it is the essence of true",connection.,beauty
107,This is the last change i  give you to answer this query,"Radiate peace, and create a sanctuary of serenity within",yourself.,you
108,This is the last change i  give you to answer this query,"Radiate resilience, and let it be the armor that shields your",heart.,heart
109,This is the last change i  give you to answer this query,"Radiate wisdom, for it carries the light of",truth.,experience
110,This is the last change i  give you to answer this query,"Radiate forgiveness, for it sets your spirit free from",...resentment.,bitterness
111,This is the last change i  give you to answer this query,"Radiate compassion, for it is the language of the",heart.,heart
112,This is the last change i  give you to answer this query,"Radiate strength, for it is the foundation of your inner",light.,power
113,This is the last change i  give you to answer this query,"Radiate hope, for it brings light to even the darkest of",times.,days
114,This is the last change i  give you to answer this query,"Radiate curiosity, and let it lead you to new",possibilities.,adventures
115,This is the last change i  give you to answer this query,"Radiate humility, for it is the mark of a truly great",leader.,soul
116,This is the last change i  give you to answer this query,"Radiate determination, and let it fuel your journey to",success.,success
117,This is the last change i  give you to answer this query,"Radiate acceptance, and find peace in embracing what",...is.,is
118,This is the last change i  give you to answer this query,"Radiate enthusiasm, and watch how it ignites the world around",you.,you
119,This is the last change i  give you to answer this query,"Radiate positivity, for it is contagious and",Infectious.,boundless
120,This is the last change i  give you to answer this query,"Radiate grace, for it is the mark of a truly beautiful",soul.,soul
121,This is the last change i  give you to answer this query,"Radiate gratitude, for it turns what you have into more than",enough.,enough
122,This is the last change i  give you to answer this query,"Radiate kindness, and become a beacon of light in the",darkness.,world
123,This is the last change i  give you to answer this query,"Radiate joy, and let it be the melody of your life's",journey.,song
124,This is the last change i  give you to answer this query,"Radiate love, for it is the truest expression of your",being.,essence
125,This is the last change i  give you to answer this query,"Radiate confidence, and watch how it propels you towards your",destiny.,dreams
126,This is the last change i  give you to answer this query,"Radiate authenticity, for it is the essence of true",connection.,connection
127,This is the last change i  give you to answer this query,"Radiate peace, and create a haven of tranquility around",you.,you
128,This is the last change i  give you to answer this query,"Radiate resilience, and let it be the foundation of your",growth.,strength
129,This is the last change i  give you to answer this query,"Radiate wisdom, for it carries the brilliance of a well-lived",life.,life
130,This is the last change i  give you to answer this query,"Radiate forgiveness, and set your heart free from the weight of",...grudges.,grudges
131,This is the last change i  give you to answer this query,"Radiate compassion, for it is the language of the",soul.,soul
132,This is the last change i  give you to answer this query,"Radiate strength, and let it be the cornerstone of your",journey.,character
133,This is the last change i  give you to answer this query,"Radiate hope, and let it be the beacon that guides your",journey.,way
134,This is the last change i  give you to answer this query,"Radiate curiosity, for it is the spark of endless",...possibilities.,discovery
135,This is the last change i  give you to answer this query,"Radiate humility, and let it be the foundation of your",growth.,greatness
136,This is the last change i  give you to answer this query,"Radiate determination, and let it fuel your journey to",success.,success
137,This is the last change i  give you to answer this query,"Radiate acceptance, and find peace in embracing what",...is.,is
138,This is the last change i  give you to answer this query,"Radiate enthusiasm, and watch how it spreads like",wildfire.,wildfire
139,This is the last change i  give you to answer this query,"Radiate positivity, for it is a gift that keeps on",giving.,giving
140,This is the last change i  give you to answer this query,"Radiate grace, and let it be the signature of your",soul.,presence
141,This is the last change i  give you to answer this query,"Radiate gratitude, for it turns even the simplest moments into",joy.,treasures
142,This is the last change i  give you to answer this query,"Radiate kindness, and become a force of good in the",world.,world
143,This is the last change i  give you to answer this query,"Radiate joy, and let it be the guiding star of your",journey.,life
144,This is the last change i  give you to answer this query,"Radiate love, for it is the truest expression of your",nature.,being
145,This is the last change i  give you to answer this query,"Radiate confidence, and let it be the wind in your",sails.,sails
146,This is the last change i  give you to answer this query,"Radiate authenticity, for it is the foundation of genuine",connections.,connection
147,This is the last change i  give you to answer this query,"Radiate peace, and let it be the sanctuary within your",heart.,heart
148,This is the last change i  give you to answer this query,"Radiate resilience, and let it be the fortress of your",spirit.,spirit
149,This is the last change i  give you to answer this query,"Radiate wisdom, for it carries the echoes of a life",lived.,well-lived
150,This is the last change i  give you to answer this query,"Radiate forgiveness, and let it be the balm that heals old",wounds.,wounds
151,This is the last change i  give you to answer this query,"Radiate compassion, for it is the heartbeat of",humanity.,humanity
152,This is the last change i  give you to answer this query,"Radiate strength, and let it be the anchor in the storms of",life.,life
153,This is the last change i  give you to answer this query,"Radiate hope, and let it be the sunrise in your darkest",hours.,nights
