,prompt,queries,responses,expected_responses
0,Please answer this question,"what is the best possible answer for this question: Foxes eat
 (A) wolves
 (B) mice
 (C) man
 (D) bears
",B,B
1,Please answer this question,"what is the best possible answer for this question: Plants require
 (A) oxygen
 (B) H2O
 (C) Fe
 (D) clouds
",B,B
2,Please answer this question,"what is the best possible answer for this question: Hawks eat
 (A) eggs
 (B) eagles
 (C) dogs
 (D) geckos
",A,D
3,Please answer this question,"what is the best possible answer for this question: Sleet is
 (A) potentially dangerous
 (B) poison
 (C) hot
 (D) unhealthy
",A,A
4,Please answer this question,"what is the best possible answer for this question: A faucet drips
 (A) lava
 (B) air
 (C) sand
 (D) melted ice
",D,D
5,Please answer this question,"what is the best possible answer for this question: The sea is
 (A) A mega Museum
 (B) A solid
 (C) Jello
 (D) Candy
",A,A
6,Please answer this question,"what is the best possible answer for this question: When is hotter?
 (A) desert
 (B) night
 (C) morning
 (D) noon
",D,D
7,Please answer this question,"what is the best possible answer for this question: Some fish are
 (A) cannibals
 (B) Dry
 (C) Land animals
 (D) Magic
",A,A
8,Please answer this question,"what is the best possible answer for this question: A cougar eats
 (A) unwary dandelions
 (B) clouds
 (C) carrots
 (D) voles
",D,D
9,Please answer this question,"what is the best possible answer for this question: Humans are
 (A) Air
 (B) Sunlight
 (C) Water
 (D) Plants
",C,C
10,Please answer this question,"what is the best possible answer for this question: A bee is a pollinating
 (A) moving alive thing
 (B) rock
 (C) tree
 (D) song
",A,A
11,Please answer this question,"what is the best possible answer for this question: raccoons eat what?
 (A) debris
 (B) people
 (C) fire
 (D) dirt
",A,A
12,Please answer this question,"what is the best possible answer for this question: What causes erosion?
 (A) paper
 (B) gales
 (C) wood
 (D) money
",B,B
13,Please answer this question,"what is the best possible answer for this question: A
 (A) bacterial cell must perform all life functions
 (B) lung cell
 (C) flower cell
 (D) tail cell
",A,A
14,Please answer this question,"what is the best possible answer for this question: Palm trees use the sun to
 (A) swim
 (B) eat
 (C) sleep
 (D) run
",B,B
15,Please answer this question,"what is the best possible answer for this question: Deserts are generally
 (A) sweltering
 (B) cold
 (C) tepid
 (D) frigid
",A,A
16,Please answer this question,"what is the best possible answer for this question: Which can view an ocean?
 (A) bogs
 (B) logs
 (C) pogs
 (D) dogs
",D,D
17,Please answer this question,"what is the best possible answer for this question: The mantle is
 (A) anger
 (B) magic
 (C) passion
 (D) solid bulk
",D,D
18,Please answer this question,"what is the best possible answer for this question: A radio is used for what?
 (A) people contact
 (B) heat
 (C) mail
 (D) food
",A,A
19,Please answer this question,"what is the best possible answer for this question: The moon is absent of
 (A) craters
 (B) gravity
 (C) H2O
 (D) CO2
",C,C
20,Please answer this question,"what is the best possible answer for this question: Sunrises in January are
 (A) late
 (B) green
 (C) old
 (D) early
",A,A
21,Please answer this question,"what is the best possible answer for this question: A bee may be vital for
 (A) time travel
 (B) metal
 (C) cars
 (D) basil
",D,D
22,Please answer this question,"what is the best possible answer for this question: Eagles eat what?
 (A) grass
 (B) whales
 (C) hoppers
 (D) apples
",C,C
23,Please answer this question,"what is the best possible answer for this question: Sound can travel through the
 (A) planet
 (B) sun
 (C) body
 (D) sky
",C,D
