,prompt,queries,responses,expected_responses
0,I would greatly appreciate it if you could provide an answer to this question," did you see the 15 sec clip of the New Moon trailer?? its up on ETonline.com ...check it out. its a big tease, though",0,negative
1,I would greatly appreciate it if you could provide an answer to this question,i need to get my computer fixed,1,neutral
2,I would greatly appreciate it if you could provide an answer to this question,Finally got a call for marriage counseling 3 days late....,2,neutral
3,I would greatly appreciate it if you could provide an answer to this question,and this terrible cartoon that`s supposed to be mexican.,3,negative
4,I would greatly appreciate it if you could provide an answer to this question,You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,4,negative
5,I would greatly appreciate it if you could provide an answer to this question,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4",5,neutral
6,I would greatly appreciate it if you could provide an answer to this question," I`ve been unlocked for decades now...just not lucky, never have been.  Gottta make my own luck and that involves $$$$$",6,negative
7,I would greatly appreciate it if you could provide an answer to this question,.....headache,7,negative
8,I would greatly appreciate it if you could provide an answer to this question, oh just referring to our lil exchange on LJ with regards to twitter archive postings.,8,neutral
9,I would greatly appreciate it if you could provide an answer to this question,In Arch. Drawing. Checking out MVCC`s CAD degree. Looks good to me,9,positive
10,I would greatly appreciate it if you could provide an answer to this question,"It`s a Peter & Gordon morning  -> And I, go to pieces and I wanna hide / Go to pieces and I almost die / Ever... ? http://blip.fm/~5yk38",10,neutral
11,I would greatly appreciate it if you could provide an answer to this question,can`t school just be done already? it hurts too much... seeing him every day,11,positive
12,I would greatly appreciate it if you could provide an answer to this question," Awww. Don`t mean to sound like an overgrown age 37 baby, but I`m still stick. Not as bad as yesterday, but still bad.",12,negative
13,I would greatly appreciate it if you could provide an answer to this question, I`ll be listening!,13,neutral
14,I would greatly appreciate it if you could provide an answer to this question,"Didn`t get bitten by a rabies infested person last night  yay for me! Gonna scare Rachel with Quarantine tonight, this shall be fun",14,neutral
15,I would greatly appreciate it if you could provide an answer to this question, nice beta for easports still no news on the online for madden,15,neutral
16,I would greatly appreciate it if you could provide an answer to this question, Do a tour in the Philippines sometime.  A lot of fans here would really love that!,16,positive
17,I would greatly appreciate it if you could provide an answer to this question, yea so wassup,17,neutral
18,I would greatly appreciate it if you could provide an answer to this question,The exception for a short dude: Larenz fineass Tate yum,18,neutral
19,I would greatly appreciate it if you could provide an answer to this question, I created my account just to get a chance to chat with you (: I ADMIRE YOU! you`re amazing! you inspire me to write  <3,19,positive
20,I would greatly appreciate it if you could provide an answer to this question,"Twitter, you just fail at life sometimes.  Oh well. http://tinyurl.com/qkxh7q",20,negative
21,I would greatly appreciate it if you could provide an answer to this question,I love when ryans a housewife. Makes me smile.,21,positive
22,I would greatly appreciate it if you could provide an answer to this question," Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",22,negative
23,I would greatly appreciate it if you could provide an answer to this question,I`m sleepy but is feeling under the weather! ugh! These **** tonsils. I need some company or somebody to talk too!,23,negative
24,I would greatly appreciate it if you could provide an answer to this question,I guess the relaxing dinner and a movie is out for tonight...I was looking forward to that after my day at work,24,positive
25,I would greatly appreciate it if you could provide an answer to this question,The World is just amazing!,25,positive
26,I would greatly appreciate it if you could provide an answer to this question,"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",26,positive
27,I would greatly appreciate it if you could provide an answer to this question,Ada acara menarik lain: Keys to the VIP di channel V. Ttg straight yg dikasih tasks to approach strangers in the crowd.. Hmm,27,neutral
28,I would greatly appreciate it if you could provide an answer to this question,My ear are popping.,28,neutral
